name,,n,clinical_phase,moa,target,disease_area,indication,drug_median_score,in_vitro,all_virus_mock_meta_GSE47960_SARS-BatSRBD_HAE_36_72,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_12_48,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_48_60,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_0_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_48
aripiprazole,,7,Launched,serotonin receptor agonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7,neurology/psychiatry,depression|schizophrenia|bipolar disorder,188,FALSE,470,188,408,183,120,225,60,151,531,147,284
cytarabine,,15,Launched,ribonucleotide reductase inhibitor,POLA1|POLB|POLD1|POLE,hematologic malignancy,acute lymphoblastic leukemia (ALL)|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|non-Hodgkin lymphoma (NHL),189,FALSE,34,1337,572,57,99,152,27,842,1052,398,189
l-168049,,10,Preclinical,glucagon receptor antagonist,GCGR,,,191,FALSE,152,204,847,154,172,94,162,788,474,191,288
brefeldin-a,,68,Preclinical,protein synthesis inhibitor,ARF1|CYTH2,,,192,FALSE,361,278,727,120,92,192,183,369,342,130,121
cisplatin,,5,Launched,DNA alkylating agent|DNA synthesis inhibitor,XIAP,oncology,testicular carcinoma|ovarian cancer|bladder cancer,195,FALSE,89,894,195,152,104,220,171,450,45,203,470
latrunculin-b,,12,Phase 1,actin polymerization inhibitor,ACTA1|MKL1|SPIRE2,,,196,FALSE,83,233,153,420,490,398,242,52,33,121,196
lylamine,,14,Preclinical,cannabinoid receptor agonist,CNR1,,,196,FALSE,402,164,302,212,174,196,442,135,198,134,67
alvespimycin,,36,Phase 2,HSP inhibitor,HSP90AA1,,,198,FALSE,482,26,1166,243,198,110,75,966,316,124,120
clarithromycin,,2,Launched,bacterial 50S ribosomal subunit inhibitor,CYP3A4,otolaryngology|pulmonary|infectious disease,pharyngitis|tonsillitis|sinusitis|bronchitis|pneumonia|skin infections|otitis,198,FALSE,860,114,1011,620,875,198,181,40,66,247,173
floxuridine,,17,Launched,DNA synthesis inhibitor,TYMS,oncology,colorectal cancer,198,FALSE,98,810,292,89,126,171,46,1214,942,396,198
buparlisib,,30,Phase 3,PI3K inhibitor,PIK3CA|PIK3CG,,,201,FALSE,373,109,126,393,913,332,328,7,18,133,201
cyproheptadine,,10,Launched,histamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|HRH1|HTR2A|HTR2C|HTR6|HTR7,allergy|otolaryngology|ophthalmology|dermatology,allergic rhinitis|vasomotor rhinitis|conjunctivitis|urticaria|dermatographism,204,FALSE,418,609,1325,51,77,45,100,1098,654,204,156
rs-39604,,11,Preclinical,serotonin receptor antagonist,HTR4,,,204,FALSE,112,428,204,488,372,496,659,123,155,138,107
morin,,9,Preclinical,cytochrome P450 inhibitor,ADORA2A|ESR2|FASN|MCL1|SLC22A12,,,205,FALSE,188,478,182,96,94,88,211,1219,797,205,221
valdecoxib,,36,Withdrawn,cyclooxygenase inhibitor,CA12|PTGS2,,,205,FALSE,345,88,205,373,405,357,116,114,165,163,275
bimatoprost,,2,Launched,prostanoid receptor agonist,AKR1C3|PTGER1|PTGER3|PTGFR,ophthalmology,intraocular pressure|glaucoma|ocular hypertension,206,FALSE,411,14,1658,56,207,41,264,200,939,206,138
nnc-05-2090,,16,Preclinical,GABA uptake inhibitor|GAT inhibitor,SLC6A12,,,206,FALSE,378,110,244,346,184,266,206,120,90,174,250
torin-2,,61,Preclinical,mTOR inhibitor,MTOR,,,208,FALSE,571,6,208,311,445,260,575,9,3,33,79
ouabain,,57,Launched,ATPase inhibitor,ATP1A1,cardiology,hypertension|cardiac arrythmia,209,FALSE,781,485,848,162,208,135,209,363,334,171,108
ro-08-2750,,8,Preclinical,,NGF,,,210,FALSE,205,445,1176,167,159,141,210,1105,564,144,238
proscillaridin-a,,4,Launched,,,cardiology,congestive heart failure|cardiac arrythmia,211,FALSE,1507,222,164,223,351,125,77,100,702,161,211
thiothixene,,23,Launched,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,neurology/psychiatry,schizophrenia,212,TRUE,456,185,282,438,373,200,365,41,105,156,212
acetylcholine,,2,Launched,acetylcholine receptor agonist,ACHE|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA2,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion,213,FALSE,225,37,57,454,923,1215,1172,213,73,111,63
belinostat,,25,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,hematologic malignancy,peripheral T-cell lymphoma (PTCL),213,FALSE,67,10,79,171,215,213,216,364,656,411,191
targinine,,2,Phase 3,nitric oxide synthase inhibitor,NOS3,,,214,FALSE,303,66,1040,214,257,1436,268,176,19,136,122
cerulenin,,56,Launched,fatty acid synthase inhibitor,FASN,infectious disease,fungal infection,216,FALSE,122,488,146,169,216,522,256,1014,604,173,103
ethaverine,,3,Launched,calcium channel blocker,,neurology/psychiatry,muscle relaxant|spasms,216,FALSE,216,561,264,127,404,102,64,87,214,557,273
monobenzone,,2,Launched,melanin inhibitor,TYR,dermatology,skin depigmentation,216,FALSE,26,684,958,216,88,71,124,316,908,674,180
vanoxerine,,17,Phase 3,dopamine uptake inhibitor,SLC6A3,,,216,FALSE,193,356,318,230,204,216,177,220,425,157,137
cytochalasin-b,,35,Phase 2,microtubule inhibitor,ACTB,,,218,FALSE,218,429,214,336,409,274,144,139,166,164,329
givinostat,,7,Phase 2,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,218,FALSE,82,48,163,175,276,727,109,218,772,510,293
no-asa,,6,Phase 2,cyclooxygenase inhibitor,PTGS2,,,221,FALSE,466,348,223,126,115,43,221,588,599,196,111
terbinafine,,3,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis,221,FALSE,344,35,316,221,314,259,240,45,142,99,102
ciprofibrate,,2,Launched,PPAR receptor agonist,PPARA,endocrinology,hyperlipidemia,223,FALSE,194,279,918,190,149,284,1152,310,174,220,223
streptozotocin,,2,Launched,DNA alkylating agent,SLC2A2,oncology,pancreatic cancer,223,FALSE,853,325,56,331,185,243,207,223,169,343,101
bml-284,,5,Preclinical,WNT agonist,,,,226,FALSE,351,59,1365,60,133,47,226,1509,445,255,69
inca-6,,7,Preclinical,calcineurin inhibitor,NFATC1,,,227,FALSE,227,173,1022,188,169,374,346,930,208,304,160
tanespimycin,,137,Phase 3,HSP inhibitor,HSP90AA1,,,227,FALSE,383,90,725,434,381,227,161,154,70,137,339
at-7519,,52,Phase 2,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK6|CDK9,,,228,FALSE,52,837,263,228,183,209,24,192,261,377,592
bix-02189,,12,Preclinical,MEK inhibitor,MAP2K5|MAPK7,,,228,FALSE,228,617,570,211,108,176,98,865,400,165,228
melphalan,,2,Launched,DNA alkylating agent|DNA inhibitor,,hematologic malignancy,multiple myeloma,232,FALSE,23,277,1661,101,232,132,10,76,739,688,516
pnu-74654,,43,Preclinical,beta-catenin inhibitor,CTNNB1|TCF4,,,232,FALSE,158,126,810,232,223,212,243,352,371,182,291
prednicarbate,,7,Launched,phospholipase activator,NR3C1|PLA2G1B,dermatology|ophthalmology|neurology/psychiatry,eczema|contact dermatitis|itching,232,FALSE,490,125,438,150,161,84,287,563,232,239,225
gsk-3-inhibitor-ix,,62,Preclinical,glycogen synthase kinase inhibitor|lipoxygenase inhibitor,GSK3A|GSK3B,,,233,FALSE,127,975,745,174,80,114,163,1713,1107,397,233
everolimus,,16,Launched,mTOR inhibitor,MTOR,oncology|neurology/psychiatry|genetics|urology,breast cancer|neuroendocrine tumors of pancreatic origin (PNET)|renal cell carcinoma (RCC)|subependymal giant cell astrocytoma (SEGA)|tuberous sclerosis complex (TSC)|renal angiomyolipoma,235,FALSE,473,68,123,235,533,742,384,362,80,113,60
cotinine,,2,Phase 2,nicotine metabolite,,,,236,FALSE,139,107,179,268,236,506,219,670,125,356,307
mibefradil,,20,Withdrawn,T-type calcium channel blocker,ANO1|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CATSPER1|CATSPER2|CATSPER3|CATSPER4,,,236,FALSE,433,229,259,236,209,404,631,118,192,222,272
daunorubicin,,107,Launched,RNA synthesis inhibitor|topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL),237,FALSE,107,597,237,313,194,298,57,33,149,326,742
pac-1,,52,Phase 1,caspase activator,CASP3,,,237,FALSE,59,418,705,110,128,180,62,400,468,273,237
paroxetine,,17,Launched,selective serotonin reuptake inhibitor (SSRI),CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR2A|SLC6A2|SLC6A4,neurology/psychiatry,depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder,237,FALSE,287,237,190,363,308,317,634,115,75,122,134
phloretin,,54,Launched,sodium/glucose cotransporter inhibitor,AQP9|CLCN3|SLC23A1,,,238,FALSE,212,426,249,158,162,282,164,628,665,238,232
geldanamycin,,638,Preclinical,HSP inhibitor,HSP90AA1|HSP90AB1,,,239,FALSE,539,57,644,504,436,232,196,239,213,200,328
digoxin,,52,Launched,ATPase inhibitor,ATP1A1,cardiology,congestive heart failure|atrial fibrillation (AF),240,FALSE,910,591,464,151,240,179,203,346,330,179,136
pelitinib,,32,Phase 2,EGFR inhibitor,EGFR,,,240,FALSE,488,203,36,426,585,568,692,30,30,194,240
lestaurtinib,,24,Phase 3,FLT3 inhibitor|growth factor receptor inhibitor|JAK inhibitor,FLT3|NTRK1,,,242,FALSE,242,431,47,264,334,203,212,238,171,280,405
pq-401,,10,Preclinical,IGF-1 inhibitor,IGF1R,,,242,FALSE,129,261,393,231,333,525,148,242,280,197,158
pd-102807,,14,Preclinical,acetylcholine receptor antagonist,CHRM4,,,243,FALSE,243,232,327,258,191,348,131,241,349,230,245
doxorubicin,,79,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy|oncology,acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma,244,FALSE,113,469,183,277,244,328,39,24,185,331,778
ezetimibe,,11,Launched,cholesterol inhibitor|Niemann-Pick C1-like 1 protein antagonist,ANPEP|NPC1L1|SOAT1,endocrinology|metabolism,hyperlipidemia|hypercholesterolemia|sitosterolemia,244,FALSE,223,578,593,244,182,280,453,361,143,149,168
serdemetan,,47,Phase 1,MDM inhibitor,MDM2,,,244,FALSE,69,945,564,82,90,151,159,817,513,297,244
bromperidol,,2,Launched,dopamine receptor antagonist,DRD2,neurology/psychiatry,schizophrenia,245,FALSE,245,653,38,801,303,156,746,95,69,248,172
scriptaid,,44,Preclinical,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,249,FALSE,121,54,333,164,199,296,147,249,672,427,268
nilotinib,,27,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor,ABL1|KIT,hematologic malignancy,chronic myeloid leukemia (CML),250,FALSE,504,316,1226,192,212,170,186,942,366,250,226
ntncb,,16,Preclinical,neuropeptide receptor antagonist,NPY5R,,,251,FALSE,204,161,718,251,246,365,434,195,254,166,255
vinblastine,,51,Launched,microtubule inhibitor|tubulin polymerization inhibitor,JUN|TUBA1A|TUBB|TUBD1|TUBE1|TUBG1,hematologic malignancy|infectious disease|oncology,Hodgkin's lymphoma|true histiocytic lymphoma (THL)|mycosis|small lymphocytic lymphoma (SLL)|testicular carcinoma|Kaposi sarcoma,252,FALSE,190,211,1039,137,114,103,267,993,562,252,327
ursolic-acid,,29,Phase 1,ATPase inhibitor|NFkB pathway inhibitor|STAT inhibitor,HSD11B1|PLA2G1B|PTPN1|PYGM,,,253,FALSE,298,167,722,217,253,185,456,386,355,188,116
mercaptopurine,,4,Launched,immunosuppressant|protein synthesis inhibitor|purine antagonist,HPRT1|IMPDH1|IMPDH2|PPAT,hematologic malignancy,acute lymphoblastic leukemia (ALL),255,FALSE,255,563,7,141,300,131,812,136,267,75,287
nvp-tae684,,67,Preclinical,ALK tyrosine kinase receptor inhibitor,ALK|INSR,,,255,FALSE,465,255,159,300,416,250,424,47,57,160,387
mometasone,,11,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses,256,FALSE,160,257,384,276,189,173,218,340,462,256,242
dasatinib,,55,Launched,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor|tyrosine kinase inhibitor,ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1,hematologic malignancy,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL),257,TRUE,335,252,218,519,565,483,378,20,10,153,257
primaquine,,8,Launched,antimalarial agent|DNA inhibitor,KRT7|NQO2,infectious disease,malaria,258,FALSE,258,323,676,172,255,105,224,1303,487,229,259
xl-147,,16,Phase 2,PI3K inhibitor,PIK3CA|PIK3CD|PIK3CG,,,260,FALSE,260,303,349,86,69,147,417,485,402,139,128
erlotinib,,32,Launched,EGFR inhibitor,EGFR|NR1I2,oncology,non-small cell lung cancer (NSCLC)|pancreatic cancer,264,FALSE,210,264,547,298,422,458,497,216,209,243,214
ispinesib,,16,Phase 2,kinesin inhibitor,KIF11,,,267,FALSE,708,202,563,465,349,267,654,225,172,263,218
ubp-302,,2,Preclinical,glutamate receptor antagonist,GRIK1,,,267,FALSE,267,435,1700,144,157,38,111,1117,879,632,243
bms-387032,,36,Phase 1,CDK inhibitor|cell cycle inhibitor|MCL1 inhibitor,CDK2|CDK7|CDK9,,,268,FALSE,16,471,268,255,342,329,7,27,122,269,584
tubastatin-a,,35,Preclinical,HDAC inhibitor,HDAC6,,,269,FALSE,269,111,817,262,357,189,86,109,387,390,497
indirubin,,38,Phase 2/Phase 3,CDK inhibitor|glycogen synthase kinase inhibitor,CDK1|CDK5|GSK3A,,,271,FALSE,110,825,491,149,81,93,179,1696,1041,366,271
alvocidib,,96,Phase 2,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM,,,275,FALSE,54,728,113,347,275,444,49,72,190,375,768
am-281,,10,Preclinical,cannabinoid receptor antagonist,CNR1|CNR2|GPR55,,,275,FALSE,301,275,603,215,165,72,230,870,306,307,200
mycophenolic-acid,,35,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1|IMPDH2,transplant,organ rejection,277,FALSE,146,491,277,116,163,218,44,278,673,634,725
mycophenolate-mofetil,,13,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1|IMPDH2,transplant,organ rejection,278,TRUE,141,414,69,132,197,278,55,501,703,492,573
cs-110266,,4,Preclinical,dopamine receptor agonist,SLC6A3,,,281,FALSE,239,104,311,265,538,630,517,349,281,183,129
pha-665752,,22,Preclinical,c-Met inhibitor,MET,,,281,FALSE,428,394,759,139,132,233,271,428,582,240,281
butein,,12,Preclinical,EGFR inhibitor|src inhibitor,ACE,,,282,FALSE,149,78,389,198,196,283,371,1231,323,282,135
le-135,,47,Preclinical,retinoid receptor agonist,RARB,,,283,FALSE,250,564,986,133,112,205,379,731,818,283,251
papaverine,,13,Launched,phosphodiesterase inhibitor,PDE10A|PDE4B|PDE5A,cardiology|hematology|gastroenterology,myocardial infarction|angina pectoris|pulmonary embolism (PE)|colitis|vascular spasm,286,FALSE,249,352,139,418,599,710,556,276,247,286,274
mrs-1220,,8,Preclinical,adenosine receptor antagonist,ADORA2B|ADORA3,,,289,FALSE,289,521,1419,219,282,155,204,1491,597,332,133
nintedanib,,17,Launched,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB,pulmonary,idiopathic pulmonary fibrosis (IPF),289,FALSE,362,200,284,547,677,376,366,66,28,190,289
nortriptyline,,10,Launched,tricyclic antidepressant,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR1A|HTR2A|HTR2C|HTR6|KCNJ10|PGRMC1|SIGMAR1|SLC6A2|SLC6A4,neurology/psychiatry,depression,289,FALSE,326,442,754,289,261,425,495,168,86,169,193
bx-912,,54,Preclinical,pyruvate dehydrogenase kinase inhibitor,CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1,,,290,FALSE,371,306,1054,290,350,191,274,574,95,192,154
flupentixol,,7,Launched,dopamine receptor antagonist,ADRA1A|CHRM1|DRD1|DRD2|DRD3|DRD5|HTR2A,neurology/psychiatry,schizophrenia|depression,290,FALSE,253,396,290,444,443,641,393,146,29,154,197
pirarubicin,,14,Launched,topoisomerase inhibitor,TOP2A,oncology,breast cancer,291,FALSE,178,789,240,395,231,389,117,85,291,542,945
cycloheximide,,74,Preclinical,protein synthesis inhibitor,RPL3,,,293,FALSE,903,929,1083,107,124,58,135,433,631,293,147
prenylamine,,4,Withdrawn,calcium channel blocker,CALM1|MYLK2,,,293,FALSE,99,293,1514.5,543,629,195,236,164,374,350,276
afatinib,,43,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4,oncology,non-small cell lung cancer (NSCLC),296,FALSE,579,135,175,385,413,584,857,180,124,234,296
pizotifen,,11,Launched,serotonin receptor antagonist,HTR1A|HTR2A|HTR2C,neurology/psychiatry,migraine headache,296,FALSE,282,212,1042,296,326,321,655,338,199,212,85
su-4312,,16,Preclinical,PDGFR tyrosine kinase receptor inhibitor|tyrosine kinase inhibitor|VEGFR inhibitor,KDR|PDGFRB,,,296,FALSE,315,312,550,220,556,256,609,219,225,296,216
temsirolimus,,45,Launched,mTOR inhibitor,MTOR,oncology,renal cell carcinoma (RCC),298,FALSE,550,193,298,526,645,421,289,70,83,214,373
benzoxiquine,,7,Preclinical,antiinfective drug,,,,299,FALSE,522,38,646,299,292,268,229,311,368,219,444
olvanil,,9,Preclinical,TRPV agonist,CNR1|GPR119|TRPV1,,,299,FALSE,150,199,884,206,299,420,470,958,404,279,184
mebendazole,,65,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,pinworm|whipworm|hookworm|ascariasis,301,FALSE,453,242,1445,176,279,101,185,1585,579,301,416
fendiline,,2,Preclinical,calcium channel blocker,HTR2B,,,302,FALSE,261,190,1057,213,302,167,1031,339,740,417,239
px-12,,44,Phase 2,thioredoxin inhibitor,TXN|TXNRD1,,,302,FALSE,372,581,366,113,101,144,302,1678,757,277,227
amlodipine,,20,Launched,calcium channel blocker,CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1,cardiology,hypertension|chronic stable angina|vasospastic angina|coronary artery disease (CAD),303,FALSE,424,223,241,542,414,508,708,140,152,209,303
canertinib,,39,Phase 3,EGFR inhibitor,AKT1|EGFR|ERBB2|ERBB4,,,304,FALSE,375,113,128,304,320,434,407,103,79,241,345
lacidipine,,9,Launched,calcium channel blocker,CACNA1C,cardiology,hypertension,305,FALSE,497,372,568,165,136,92,246,305,500,227,419
osi-930,,11,Phase 1,KIT inhibitor|VEGFR inhibitor,KDR|KIT,,,307,FALSE,307,729,964,224,532,252,401,992,183,258,248
pipemidic-acid,,2,Launched,topoisomerase inhibitor,,infectious disease,gram-negative bacterial infections,307,FALSE,427,55,599,507,353,307,67,275,231,451,186
triptolide,,89,Phase 3,RNA polymerase inhibitor,RELA,,,309,FALSE,100,675,58,327,309,382,13,15,173,420,1108
triflupromazine,,13,Launched,dopamine receptor antagonist,CHRM1|CHRM2|DRD1|DRD2|HTR2B,neurology/psychiatry|gastroenterology,psychosis|nausea|vomiting,310,TRUE,479,122,133,601,398,699,893,110,51,185,310
neratinib,,73,Phase 3,EGFR inhibitor,EGFR|ERBB2|KDR,,,312,FALSE,312,333,449,352,340,275,660,129,77,103,169
tnp-470,,3,Phase 2,methionine aminopeptidase inhibitor,,,,313,FALSE,350,219,551,186,268,96,429,1426,313,560,194
bax-channel-blocker,,38,Preclinical,cytochrome C release inhibitor,BAX,,,314,FALSE,379,434,439,328,237,305,356,160,206,233,314
chlorprothixene,,13,Launched,dopamine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|HRH1|HTR2A|HTR2B|HTR2C,neurology/psychiatry,schizophrenia|bipolar disorder,314,FALSE,314,247,686,645,633,532,591,156,101,292,246
eucatropine,,2,Preclinical,acetylcholine receptor antagonist,,,,315,FALSE,155,91,1680,631,1440,184,336,150,153,315,605
zstk-474,,47,Phase 1/Phase 2,PI3K inhibitor,PIK3CB|PIK3CD|PIK3CG,,,315,FALSE,437,129,198,341,471,356,380,3,13,141,315
podophyllotoxin,,31,Launched,microtubule inhibitor|tubulin polymerization inhibitor,IGF1R|TOP2A|TUBA4A|TUBB,infectious disease,genital warts,316,FALSE,237,228,1446,181,173,109,316,1096,526,357,401
jnj-7706621,,14,Preclinical,CDK inhibitor,AURKA|AURKB|CDK1|CDK2,,,317,FALSE,142,1002,294,358,290,354,115,161,337,317,588
am-251,,6,Preclinical,cannabinoid receptor antagonist,CNR1|GPR18|GPR55,,,318,FALSE,299,221,552,249,220,297,971,390,465,318,374
balsalazide,,6,Launched,cyclooxygenase inhibitor,ALOX5|PPARG|PTGS1|PTGS2,gastroenterology,ulcerative colitis,318,FALSE,701,318,299,528,1019,345,507,203,53,201,151
pyrrolidine-dithiocarbamate,,11,Preclinical,NFkB pathway inhibitor,HSD11B1|RELA,,,319,FALSE,319,615,1685,145,134,236,286,1560,1436,434,241
zk-164015,,15,Preclinical,estrogen receptor antagonist,ESR1|ESR2,,,320,FALSE,367,475,910,115,100,163,320,623,510,199,282
u-18666a,,9,Preclinical,oxidosqualene cyclase inhibitor,,,,322,FALSE,681,258,271,644,669,480,709,185,244,322,317
nelfinavir,,18,Launched,HIV protease inhibitor,CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A7,infectious disease,human immunodeficiency virus (HIV-1),324,FALSE,452,410,645,196,175,251,428,491,324,246,210
salubrinal,,6,Preclinical,eukaryotic translation initiation factor inhibitor,EIF2S1,,,324,FALSE,468,60,1045,187,138,153,324,1044,745,170,461
levofloxacin,,5,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease|otolaryngology|pulmonary|urology,pneumonia|sinusitis|bronchitis|skin infections|prostatitis|urinary tract infections|pyelonephritis|anthrax|plague,327,FALSE,484,224,227,887,536,609,311,645,114,327,308
pi-828,,18,Preclinical,PI3K inhibitor,,,,327,FALSE,393,327,26,760,1136,897,318,12,42,176,547
amperozide,,7,Launched,dopamine receptor antagonist,FAAH|HTR2A,neurology/psychiatry,psychosis,334,FALSE,137,401,330,278,286,640,1012,1592,894,334,279
rs-102895,,7,Preclinical,CCR antagonist,CCR2,,,335,FALSE,88,347,973,148,202,335,128,292,938,826,576
azelastine,,2,Launched,histamine receptor antagonist,HRH1,ophthalmology,conjunctivitis,337,FALSE,1033,545,638,577,131,159,337,269,386,90,106
cyclopiazonic-acid,,19,Preclinical,ATPase inhibitor,ATP2A1,,,338,FALSE,394,622,604,248,176,148,338,684,699,198,249
masitinib,,19,Launched,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor,FGFR3|KIT|PDGFRA|PDGFRB,dermatology,mastocytoma,338,FALSE,577,441,338,316,310,261,290,714,815,305,610
sertaconazole,,7,Launched,sterol demethylase inhibitor,,infectious disease,tinea pedis,338,FALSE,284,559,331,338,252,308,127,541,1185,602,618
clemastine,,8,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria,339,FALSE,230,178,503,419,339,914,398,186,146,355,247
antimycin-a,,26,Preclinical,ATP synthase inhibitor,CYCS,,,340,FALSE,340,500,392,200,171,242,508,745,484,235,305
kn-62,,11,Preclinical,calcium/calmodulin dependent protein kinase inhibitor|purinergic receptor antagonist,AKT1|CAMK2A|CHEK1|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|P2RX7|PRKCA|ROCK1|RPS6KB1|SGK1,,,342,FALSE,147,1036,760,238,142,342,400,468,557,281,332
pimozide,,25,Launched,dopamine receptor antagonist,CACNA1I|CALM1|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|KCNA10|KCNH2,neurology/psychiatry,Tourette's disorder,342,FALSE,408,370,335,342,193,440,1001,230,344,237,318
ponatinib,,27,Launched,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KDR|KIT|LCK|LYN|PDGFRA|RET|SRC|TEK,hematologic malignancy,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL),342,FALSE,342,182,521,587,868,515,892,122,63,187,176
fulvestrant,,69,Launched,estrogen receptor antagonist,ESR1|ESR2|GPER1,oncology,breast cancer,344,FALSE,417,659,228,322,428,338,344,190,361,260,440
perphenazine,,11,Launched,dopamine receptor antagonist,CALM1|DRD1|DRD2|HRH1|HTR2A|HTR2C|HTR6|HTR7,neurology/psychiatry|gastroenterology,schizophrenia|nausea|vomiting,345,FALSE,440,144,304,406,345,527,641,60,226,295,493
calcifediol,,10,Launched,vitamin D receptor agonist,VDR,,,346,FALSE,192,611,483,163,241,346,585,463,470,302,126
